# Time,Voltage
-2.500000000000000052e-03,2.554999999999999716e+00
-2.495000000000000256e-03,2.554999999999999716e+00
-2.490000000000000026e-03,2.554999999999999716e+00
-2.485000000000000230e-03,2.398749999999999716e+00
-2.480000000000000000e-03,2.398749999999999716e+00
-2.475000000000000203e-03,2.554999999999999716e+00
-2.469999999999999973e-03,2.554999999999999716e+00
-2.465000000000000177e-03,2.554999999999999716e+00
-2.459999999999999947e-03,2.398749999999999716e+00
-2.455000000000000151e-03,2.398749999999999716e+00
-2.449999999999999921e-03,2.398749999999999716e+00
-2.445000000000000125e-03,2.554999999999999716e+00
-2.439999999999999895e-03,2.554999999999999716e+00
-2.435000000000000098e-03,2.554999999999999716e+00
-2.429999999999999868e-03,2.398749999999999716e+00
-2.425000000000000072e-03,2.398749999999999716e+00
-2.419999999999999842e-03,2.398749999999999716e+00
-2.415000000000000046e-03,2.398749999999999716e+00
-2.410000000000000250e-03,2.554999999999999716e+00
-2.405000000000000020e-03,2.398749999999999716e+00
-2.400000000000000223e-03,2.554999999999999716e+00
-2.394999999999999993e-03,2.398749999999999716e+00
-2.390000000000000197e-03,2.554999999999999716e+00
-2.384999999999999967e-03,2.554999999999999716e+00
-2.380000000000000171e-03,2.554999999999999716e+00
-2.374999999999999941e-03,2.554999999999999716e+00
-2.370000000000000145e-03,2.554999999999999716e+00
-2.364999999999999915e-03,2.711249999999999716e+00
-2.360000000000000119e-03,2.554999999999999716e+00
-2.354999999999999889e-03,2.554999999999999716e+00
-2.350000000000000092e-03,2.554999999999999716e+00
-2.344999999999999862e-03,2.711249999999999716e+00
-2.340000000000000066e-03,2.554999999999999716e+00
-2.334999999999999836e-03,2.554999999999999716e+00
-2.330000000000000040e-03,2.398749999999999716e+00
-2.324999999999999810e-03,2.398749999999999716e+00
-2.320000000000000014e-03,2.711249999999999716e+00
-2.315000000000000217e-03,2.242499999999999716e+00
-2.309999999999999987e-03,2.242499999999999716e+00
-2.305000000000000191e-03,2.554999999999999716e+00
-2.299999999999999961e-03,2.554999999999999716e+00
-2.295000000000000165e-03,2.554999999999999716e+00
-2.289999999999999935e-03,2.711249999999999716e+00
-2.285000000000000139e-03,2.554999999999999716e+00
